nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Bludov	459	99,13000000000	454	33	64	58	85	17	78	37	8	5	25	44	6	0	0	0	1	1	2	0	2	0	1	0	0	0	0	0	1	9	0	6	0	12	0	2	1	0	0	0	17,83000000000	0,58700000000	19,72000000000	41,48200000000	40,65300000000	48,92400000000	0,39100000000	34,42000000000	22,26200000000	7,59500000000	0,55400000000	0,52200000000	14,99300000000	4,40000000000	81,68902920280	5,13022888713	13,18074191000
Bohdíkov	118	99,15000000000	117	26	22	19	7	2	17	5	1	10	3	5	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	10,56000000000	1,25200000000	16,49500000000	40,83500000000	39,77300000000	47,20200000000	0,51500000000	36,30300000000	21,94400000000	4,12400000000	0,22100000000	0,95700000000	15,24300000000	5,37600000000	84,22053231940	1,90114068441	13,87832699620
Bohuslavice	96	100,00000000000	96	16	19	10	16	5	13	1	0	5	7	4	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	23,36000000000	0,00000000000	23,95200000000	39,80100000000	38,78500000000	46,10800000000	0,20000000000	33,73300000000	15,76800000000	7,38500000000	0,39900000000	0,39900000000	15,36900000000	4,79000000000	86,97916666670	3,12500000000	9,89583333333
Bohutín	84	100,00000000000	84	13	11	9	16	3	17	4	4	1	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	13,29000000000	0,13100000000	20,36800000000	40,74600000000	39,23700000000	47,30600000000	0,13100000000	35,21700000000	24,44200000000	4,20500000000	0,26300000000	0,92000000000	14,71700000000	3,54800000000	87,98701298700	1,94805194805	10,06493506490
Branná	31	100,00000000000	31	4	7	4	4	3	2	1	0	1	0	5	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	12,97000000000	0,70200000000	11,57900000000	42,18400000000	41,43300000000	45,61400000000	0,70200000000	32,98200000000	14,03500000000	7,71900000000	0,35100000000	1,40400000000	13,68400000000	9,82500000000	77,45098039220	2,94117647059	19,60784313730
Rohozec	28	100,00000000000	28	10	3	2	0	0	1	2	0	0	6	4	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	11,91000000000	1,05600000000	5,63400000000	42,77900000000	40,60600000000	48,94400000000	0,00000000000	33,45100000000	26,40800000000	9,85900000000	1,05600000000	1,05600000000	15,84500000000	3,52100000000	82,92682926830	3,25203252033	13,82113821140
Podveky	30	96,67000000000	29	5	2	7	1	1	3	4	1	0	2	3	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,07000000000	0,00000000000	15,23800000000	46,54800000000	45,93500000000	51,90500000000	0,47600000000	37,14300000000	22,38100000000	1,90500000000	0,95200000000	0,95200000000	11,42900000000	3,81000000000	80,26315789470	1,31578947368	18,42105263160
Benešov	2545	99,29000000000	2524	251	384	404	232	96	469	220	102	136	56	174	2	7	1	2	2	15	12	2	5	5	2	1	2	5	3	1	2	8	1	8	2	41	5	21	0	1	13	5	19,23000000000	0,43000000000	12,59800000000	41,04000000000	39,58200000000	42,53600000000	0,17200000000	24,99400000000	28,73200000000	12,19300000000	0,78100000000	0,62100000000	13,94500000000	3,72600000000	81,06325706590	4,38761776581	14,54912516820
Bystřice	589	98,81000000000	582	54	78	89	45	26	127	47	11	28	22	55	0	1	2	1	1	5	6	0	2	1	0	2	0	0	0	4	0	3	1	2	0	19	0	3	0	0	1	1	17,04000000000	1,14600000000	12,86200000000	39,87500000000	38,67100000000	43,05400000000	0,21000000000	30,87000000000	25,44400000000	7,60100000000	0,56100000000	0,65500000000	14,40600000000	3,43800000000	82,71150814500	3,52075669995	13,76773515500
Čakov	22	100,00000000000	22	0	1	10	2	0	3	0	0	2	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	22,45000000000	3,30600000000	21,48800000000	40,45800000000	37,77100000000	47,93400000000	0,00000000000	23,14000000000	26,44600000000	7,43800000000	0,00000000000	1,65300000000	14,87600000000	7,43800000000	65,90909090910	13,63636363640	20,45454545450
Čechtice	245	99,18000000000	243	23	40	20	54	5	43	24	3	11	0	20	0	0	0	0	0	4	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	8	0	0	0	0	1	2	21,40000000000	0,85300000000	23,89800000000	41,04900000000	39,96000000000	45,87500000000	0,21300000000	32,29000000000	25,32000000000	7,25500000000	0,49800000000	0,28400000000	15,14900000000	2,20500000000	82,73615635180	3,25732899023	14,00651465800
Čerčany	480	99,17000000000	476	28	59	96	30	22	94	43	32	39	8	25	0	1	0	0	1	4	1	0	0	0	1	0	1	0	0	0	0	3	1	2	1	4	0	5	0	0	0	0	22,10000000000	2,58000000000	11,43000000000	40,83900000000	39,54800000000	43,89100000000	0,07200000000	26,83600000000	26,44200000000	10,82000000000	0,50200000000	0,43000000000	12,79100000000	3,08100000000	81,84764991900	3,64667747164	14,50567260940
Čejkovice	15	100,00000000000	15	0	0	1	2	0	7	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48,39000000000	0,00000000000	17,64700000000	48,76500000000	45,62500000000	58,82400000000	0,00000000000	32,35300000000	17,64700000000	5,88200000000	0,00000000000	0,00000000000	20,58800000000	5,88200000000	62,50000000000	12,50000000000	25,00000000000
Červený Újezd	75	98,67000000000	74	6	5	3	28	4	8	4	1	2	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	4	0	1	0	0	0	0	29,76000000000	1,91100000000	28,98100000000	40,67600000000	39,76700000000	47,77100000000	0,00000000000	28,98100000000	27,38900000000	5,41400000000	0,63700000000	0,63700000000	8,28000000000	2,54800000000	80,76923076920	2,30769230769	16,92307692310
Český Šternberk	30	100,00000000000	30	4	2	13	1	1	2	2	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	24,19000000000	13,37600000000	17,83400000000	44,39700000000	43,53800000000	48,40800000000	0,00000000000	27,38900000000	24,20400000000	7,64300000000	0,00000000000	0,00000000000	8,28000000000	2,54800000000	59,64912280700	7,01754385965	33,33333333330
Dobrovítov	32	100,00000000000	32	6	6	3	0	0	10	2	0	3	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	32,99000000000	0,00000000000	18,96600000000	45,25900000000	45,31400000000	49,13800000000	0,00000000000	36,20700000000	18,10300000000	8,62100000000	0,86200000000	0,86200000000	17,24100000000	3,44800000000	79,54545454550	0,00000000000	20,45454545450
Čtyřkoly	127	96,85000000000	123	4	5	38	6	5	27	6	4	17	0	11	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	4	0	1	0	0	3	0	27,25000000000	13,09100000000	9,62100000000	37,93200000000	37,29300000000	47,31900000000	0,00000000000	21,45100000000	25,39400000000	13,72200000000	0,63100000000	0,15800000000	17,35000000000	2,83900000000	70,49808429120	8,04597701149	21,45593869730
Medonosy	17	100,00000000000	17	0	2	2	2	5	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15,45000000000	5,12800000000	3,41900000000	41,02100000000	41,43500000000	43,59000000000	0,00000000000	31,62400000000	23,93200000000	5,98300000000	0,00000000000	0,85500000000	8,54700000000	4,27400000000	76,08695652170	4,34782608696	19,56521739130
Tupadly	15	100,00000000000	15	2	4	0	2	0	1	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	13,51000000000	5,46900000000	5,46900000000	39,17200000000	36,97300000000	37,50000000000	0,78100000000	37,50000000000	9,37500000000	3,90600000000	0,00000000000	1,56300000000	13,28100000000	15,62500000000	72,09302325580	0,00000000000	27,90697674420
Sedlec	46	97,83000000000	45	4	5	4	1	3	13	2	2	5	2	4	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	24,60000000000	3,18200000000	5,45500000000	36,10300000000	34,79900000000	35,00000000000	0,00000000000	29,54500000000	20,00000000000	8,63600000000	0,45500000000	0,45500000000	16,36400000000	3,63600000000	88,77551020410	1,02040816327	10,20408163270
Rokytá	34	100,00000000000	34	6	8	2	0	3	5	4	2	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	17,62000000000	0,00000000000	5,21700000000	40,15200000000	41,04700000000	46,08700000000	0,43500000000	32,17400000000	17,82600000000	1,73900000000	0,43500000000	0,43500000000	16,08700000000	2,60900000000	89,01098901100	3,29670329670	7,69230769231
Josefův Důl	65	100,00000000000	65	6	25	2	0	4	8	5	3	1	3	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	5	0	0	0	0	0	0	18,62000000000	0,93000000000	3,95300000000	37,73800000000	36,63100000000	36,97700000000	0,46500000000	33,48800000000	19,76700000000	3,72100000000	0,69800000000	1,39500000000	11,86000000000	5,11600000000	87,50000000000	2,17391304348	10,32608695650
Divišov	242	99,17000000000	240	24	33	29	35	10	41	15	6	20	9	18	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	5	0	0	0	1	4	1	19,24000000000	1,23400000000	15,13000000000	40,07200000000	38,45800000000	45,13000000000	0,13000000000	30,26000000000	23,70100000000	7,98700000000	0,39000000000	0,51900000000	14,35100000000	3,57100000000	79,39393939390	3,48484848485	17,12121212120
Kostomlátky	39	100,00000000000	39	7	3	11	0	1	10	0	3	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	15,66000000000	1,96100000000	7,84300000000	43,55100000000	40,97800000000	44,70600000000	0,00000000000	40,00000000000	23,52900000000	5,49000000000	1,17600000000	0,00000000000	10,58800000000	3,52900000000	83,48623853210	0,91743119266	15,59633027520
Dolní Kralovice	150	100,00000000000	150	28	26	11	21	7	29	7	8	4	2	7	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	20,22000000000	1,66700000000	18,11100000000	42,08300000000	40,63200000000	49,00000000000	0,11100000000	32,22200000000	25,22200000000	7,33300000000	0,11100000000	0,66700000000	11,88900000000	3,66700000000	85,85858585860	3,03030303030	11,11111111110
Pětihosty	49	100,00000000000	49	1	1	18	6	2	4	2	2	8	1	4	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	34,03000000000	3,33300000000	16,25000000000	32,00200000000	31,33300000000	40,83300000000	0,00000000000	21,25000000000	22,50000000000	14,58300000000	0,00000000000	0,00000000000	17,08300000000	3,33300000000	70,19230769230	5,76923076923	24,03846153850
Těchařovice	12	100,00000000000	12	1	8	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	24,00000000000	0,00000000000	12,90300000000	47,14500000000	44,12500000000	22,58100000000	0,00000000000	35,48400000000	12,90300000000	6,45200000000	0,00000000000	0,00000000000	3,22600000000	12,90300000000	72,72727272730	0,00000000000	27,27272727270
Bezděkov pod Třemšínem	35	94,29000000000	33	7	2	2	2	1	4	0	0	4	2	9	0	0	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	26,92000000000	3,87100000000	13,54800000000	40,89400000000	39,41600000000	45,80600000000	0,00000000000	25,80600000000	35,48400000000	5,16100000000	2,58100000000	1,29000000000	19,35500000000	3,87100000000	77,14285714290	1,42857142857	21,42857142860
Koupě	21	100,00000000000	21	6	7	1	0	0	3	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19,63000000000	0,00000000000	10,71400000000	41,31400000000	41,01600000000	39,28600000000	0,00000000000	38,57100000000	20,00000000000	1,42900000000	0,00000000000	1,42900000000	13,57100000000	5,00000000000	76,47058823530	1,96078431373	21,56862745100
Velká Chmelištná	18	100,00000000000	18	5	6	3	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	29,51000000000	3,84600000000	9,61500000000	52,26900000000	51,29200000000	40,38500000000	3,84600000000	40,38500000000	17,30800000000	3,84600000000	0,00000000000	0,00000000000	9,61500000000	3,84600000000	88,23529411760	0,00000000000	11,76470588240
Heřmaničky	107	99,07000000000	106	19	7	15	5	6	14	4	0	8	4	24	0	0	1	1	0	3	4	0	0	3	0	0	0	0	0	0	2	2	0	1	0	7	0	0	0	0	0	0	18,94000000000	1,12400000000	15,30900000000	41,44200000000	40,06300000000	45,36500000000	0,28100000000	31,74200000000	23,03400000000	5,33700000000	0,56200000000	0,14000000000	13,06200000000	2,80900000000	81,72413793100	2,06896551724	16,20689655170
Drahouš	15	93,33000000000	14	5	1	2	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	22,73000000000	0,00000000000	3,12500000000	48,59500000000	46,30600000000	48,43800000000	0,00000000000	35,93800000000	20,31300000000	4,68800000000	0,00000000000	0,00000000000	3,12500000000	4,68800000000	90,00000000000	5,00000000000	5,00000000000
Kvítkovice	20	100,00000000000	20	1	0	3	1	0	5	2	0	3	1	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	23,26000000000	1,83500000000	15,59600000000	40,42700000000	39,86200000000	42,20200000000	0,00000000000	33,02800000000	23,85300000000	5,50500000000	0,91700000000	0,00000000000	16,51400000000	0,91700000000	85,18518518520	0,00000000000	14,81481481480
Hulice	40	100,00000000000	40	9	7	4	3	1	10	0	1	2	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	16,06000000000	0,00000000000	14,03500000000	42,31800000000	41,66600000000	54,38600000000	0,00000000000	31,93000000000	27,71900000000	7,01800000000	1,05300000000	1,05300000000	14,03500000000	4,21100000000	83,46456692910	5,51181102362	11,02362204720
Hvězdonice	47	100,00000000000	47	6	4	14	0	5	10	1	2	1	1	3	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,43000000000	4,06300000000	9,06300000000	44,01300000000	43,69600000000	47,81300000000	0,00000000000	30,93800000000	28,12500000000	6,25000000000	0,31300000000	0,31300000000	13,43800000000	2,50000000000	77,93103448280	6,20689655172	15,86206896550
Dívčí Kopy	12	100,00000000000	12	4	1	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	21,43000000000	0,00000000000	3,12500000000	38,64100000000	38,66200000000	53,12500000000	0,00000000000	34,37500000000	20,31300000000	3,12500000000	0,00000000000	0,00000000000	9,37500000000	4,68800000000	83,33333333330	0,00000000000	16,66666666670
Žďár	27	100,00000000000	27	3	5	2	1	0	5	2	0	4	3	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	32,14000000000	0,00000000000	8,42100000000	43,90000000000	43,13800000000	43,15800000000	0,00000000000	35,78900000000	16,84200000000	5,26300000000	1,05300000000	0,00000000000	9,47400000000	2,10500000000	81,25000000000	0,00000000000	18,75000000000
Chlum	21	100,00000000000	21	1	3	3	3	0	5	0	0	0	1	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	17,80000000000	0,00000000000	35,07500000000	44,71600000000	44,92500000000	48,50700000000	0,00000000000	29,10400000000	30,59700000000	6,71600000000	0,00000000000	0,00000000000	15,67200000000	0,74600000000	84,61538461540	1,53846153846	13,84615384620
Chmelná	43	100,00000000000	43	0	6	3	24	3	3	1	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40,57000000000	2,38100000000	65,07900000000	37,77000000000	34,82400000000	46,03200000000	0,00000000000	26,98400000000	18,25400000000	6,34900000000	0,79400000000	0,79400000000	25,39700000000	4,76200000000	67,39130434780	0,00000000000	32,60869565220
Chocerady	181	98,34000000000	178	12	20	40	8	15	36	14	6	10	5	12	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	5	1	0	18,62000000000	6,04600000000	8,17000000000	41,11300000000	40,12900000000	43,95400000000	0,08200000000	31,94400000000	25,40800000000	7,68000000000	0,89900000000	0,89900000000	12,58200000000	4,24800000000	75,54671968190	4,17495029821	20,27833001990
Chotýšany	76	96,05000000000	73	0	11	13	3	7	13	4	4	8	3	7	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	18,45000000000	1,01800000000	19,75600000000	39,06800000000	37,64400000000	45,82500000000	0,00000000000	28,51300000000	29,12400000000	6,92500000000	0,40700000000	0,61100000000	17,51500000000	2,64800000000	81,73515981740	1,82648401826	16,43835616440
Čelistná	24	100,00000000000	24	1	2	0	12	0	6	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31,17000000000	0,00000000000	42,99100000000	38,50900000000	36,35500000000	49,53300000000	0,00000000000	27,10300000000	27,10300000000	3,73800000000	0,00000000000	0,00000000000	18,69200000000	1,86900000000	84,61538461540	2,56410256410	12,82051282050
Mezná	26	100,00000000000	26	5	3	4	4	1	3	2	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24,07000000000	0,00000000000	25,37300000000	40,65700000000	40,70300000000	44,77600000000	0,00000000000	41,04500000000	19,40300000000	5,97000000000	1,49300000000	0,74600000000	8,95500000000	2,98500000000	85,96491228070	0,00000000000	14,03508771930
Jankov	107	99,07000000000	106	15	10	14	8	5	24	7	3	8	2	10	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	4	15,60000000000	1,59600000000	14,46800000000	42,79000000000	41,64000000000	37,23400000000	9,68100000000	31,59600000000	17,12800000000	4,78700000000	0,53200000000	0,42600000000	13,19100000000	3,08500000000	83,52941176470	2,05882352941	14,41176470590
Javorník	31	100,00000000000	31	2	4	4	7	2	4	0	2	3	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	28,44000000000	1,75400000000	30,70200000000	45,27200000000	45,43700000000	48,24600000000	0,00000000000	35,96500000000	25,43900000000	5,26300000000	0,00000000000	0,00000000000	17,54400000000	3,50900000000	84,31372549020	5,88235294118	9,80392156863
Důl	18	100,00000000000	18	7	3	0	1	0	1	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	33,96000000000	0,00000000000	28,00000000000	44,66000000000	44,72200000000	50,00000000000	0,00000000000	40,00000000000	18,00000000000	6,00000000000	0,00000000000	0,00000000000	12,00000000000	2,00000000000	95,45454545450	0,00000000000	4,54545454545
Okrouhlá	16	100,00000000000	16	2	1	0	0	0	6	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	27,59000000000	0,00000000000	7,24600000000	40,86200000000	41,12100000000	44,92800000000	2,89900000000	33,33300000000	18,84100000000	5,79700000000	0,00000000000	0,00000000000	24,63800000000	2,89900000000	100,00000000000	0,00000000000	0,00000000000
Stehlovice	25	100,00000000000	25	2	2	4	5	2	5	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30,49000000000	0,00000000000	15,00000000000	47,55000000000	43,97300000000	52,00000000000	0,00000000000	32,00000000000	23,00000000000	3,00000000000	0,00000000000	1,00000000000	13,00000000000	4,00000000000	97,36842105260	0,00000000000	2,63157894737
Nicov	19	100,00000000000	19	2	0	5	1	0	9	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	30,16000000000	2,53200000000	5,06300000000	41,80400000000	40,66700000000	41,77200000000	0,00000000000	35,44300000000	13,92400000000	5,06300000000	0,00000000000	0,00000000000	11,39200000000	0,00000000000	74,35897435900	5,12820512821	20,51282051280
Keblov	32	100,00000000000	32	6	2	2	3	2	5	1	0	3	2	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	21,19000000000	0,00000000000	25,14300000000	45,06300000000	43,33000000000	48,57100000000	0,00000000000	41,71400000000	18,85700000000	6,85700000000	2,28600000000	0,00000000000	14,28600000000	2,85700000000	87,50000000000	0,00000000000	12,50000000000
Vrbice	10	100,00000000000	10	4	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	20,41000000000	1,44900000000	15,94200000000	44,23900000000	43,50000000000	43,47800000000	1,44900000000	39,13000000000	11,59400000000	11,59400000000	0,00000000000	0,00000000000	18,84100000000	8,69600000000	77,27272727270	4,54545454545	18,18181818180
Žárovná	16	100,00000000000	16	7	3	0	1	0	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17,39000000000	0,00000000000	44,95400000000	40,87000000000	38,72600000000	39,45000000000	0,00000000000	33,94500000000	13,76100000000	0,91700000000	0,91700000000	0,00000000000	20,18300000000	6,42200000000	72,50000000000	5,00000000000	22,50000000000
Kondrac	78	98,72000000000	77	7	24	10	18	0	6	3	0	0	1	8	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	20,21000000000	0,00000000000	32,18100000000	38,99400000000	38,53100000000	47,51600000000	0,86400000000	30,45400000000	23,32600000000	6,69500000000	1,29600000000	0,21600000000	16,63100000000	1,72800000000	80,80357142860	4,01785714286	15,17857142860
Kozmice	41	100,00000000000	40	3	6	8	4	1	8	5	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18,22000000000	1,09500000000	11,67900000000	41,38600000000	41,59400000000	44,16100000000	0,36500000000	38,68600000000	18,61300000000	6,56900000000	0,00000000000	0,00000000000	13,86900000000	3,65000000000	78,99159663870	3,36134453782	17,64705882350
Krhanice	148	99,32000000000	147	16	15	42	3	7	23	9	2	8	3	19	0	2	0	0	0	0	1	0	6	0	0	0	0	2	0	0	1	4	0	0	0	2	0	0	0	0	0	1	20,33000000000	3,26800000000	9,36800000000	41,58500000000	40,39300000000	45,42500000000	0,10900000000	28,32200000000	25,16300000000	10,67500000000	0,21800000000	0,10900000000	11,76500000000	2,28800000000	81,08747044920	3,07328605201	15,83924349880
Buzice	18	100,00000000000	18	0	2	2	2	0	5	2	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	14,40000000000	1,26600000000	6,32900000000	40,17900000000	38,31500000000	39,24100000000	0,00000000000	40,50600000000	17,08900000000	0,63300000000	0,63300000000	0,00000000000	14,55700000000	5,06300000000	87,30158730160	0,00000000000	12,69841269840
Krňany	57	100,00000000000	57	2	4	15	0	3	19	3	2	1	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	1	0	17,17000000000	10,72300000000	10,72300000000	43,15700000000	41,44900000000	46,38400000000	0,49900000000	40,15000000000	24,43900000000	4,23900000000	0,00000000000	0,49900000000	7,98000000000	6,23400000000	71,42857142860	5,59006211180	22,98136645960
Chlum	20	100,00000000000	20	4	5	1	0	0	2	2	1	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	13,07000000000	0,00000000000	9,00000000000	38,16500000000	35,83000000000	48,00000000000	0,00000000000	36,50000000000	19,00000000000	6,50000000000	0,00000000000	0,50000000000	17,50000000000	2,50000000000	72,15189873420	5,06329113924	22,78481012660
Křečovice	132	100,00000000000	132	28	19	15	28	2	9	3	6	0	5	17	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	8	0	1	0	0	0	1	22,45000000000	5,80100000000	20,02800000000	40,73200000000	39,13100000000	47,92800000000	0,13800000000	35,77300000000	19,61300000000	4,97200000000	0,82900000000	0,41400000000	12,43100000000	4,42000000000	77,42946708460	2,50783699060	20,06269592480
Křivsoudov	62	100,00000000000	62	5	12	7	11	2	7	2	4	3	3	6	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	17,97000000000	1,22900000000	23,83300000000	41,90800000000	40,31000000000	47,91200000000	0,00000000000	38,32900000000	17,69000000000	4,91400000000	1,47400000000	0,24600000000	15,47900000000	4,42300000000	86,27450980390	2,61437908497	11,11111111110
Březí	23	100,00000000000	23	5	7	4	3	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	37,10000000000	0,00000000000	28,75000000000	41,80000000000	38,81800000000	41,25000000000	0,00000000000	35,00000000000	13,75000000000	5,00000000000	0,00000000000	1,25000000000	16,25000000000	2,50000000000	80,64516129030	6,45161290323	12,90322580650
Kuňovice	26	100,00000000000	26	0	0	2	12	0	11	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	43,33000000000	1,12400000000	56,18000000000	39,68200000000	40,40500000000	46,06700000000	0,00000000000	28,09000000000	17,97800000000	5,61800000000	0,00000000000	0,00000000000	10,11200000000	1,12400000000	76,31578947370	7,89473684211	15,78947368420
