nazev	obalky,N,9,0	platne_hla,N,19,11	platne_hlasy	KSCM,N,9,0	CSSD,N,9,0	Koal_TOP09,N,9,0	KDU_CSL,N,9,0	Pirati,N,9,0	ANO_2011,N,9,0	ODS,N,9,0	SZ,N,9,0	Svobodni,N,9,0	Usvit,N,9,0	Ostatni	M,N,9,0	VIZE,N,9,0	CSR,N,9,0	Koal__SP_a,N,9,0	RDS,N,9,0	KSC,N,9,0	PB,N,9,0	ABS,N,9,0	Koal_DSSS_,N,9,0	KAN,N,9,0	HSS,N,9,0	Republika,N,9,0	CS,N,9,0	KC,N,9,0	ANEO,N,9,0	CSNS,N,9,0	O_K_strana,N,9,0	VV,N,9,0	OBC_2011,N,9,0	ND,N,9,0	SRP,N,9,0	Rozumni,N,9,0	HNPD,N,9,0	LES,N,9,0	RSCMS,N,9,0	evropani,N,9,0	SNK_ED,N,9,0	LEV_21,N,9,0	ucast_prc,N,19,11	mimo_byty_,N,19,11	verici_prc,N,19,11	vek_prumer,N,19,11	vek_prum_1,N,19,11	vdani_prc,N,19,11	vzdelani_z,N,19,11	vzdelani_s,N,19,11	vzdelani_m,N,19,11	vzdelani_v,N,19,11	prace_stud,N,19,11	nezamestna,N,19,11	studenti_p,N,19,11	mira_nez_1,N,19,11	zamestna_1,N,19,11	podnikatel,N,19,11	osvc_prc,N,19,11
Bujesily	11	100,00000000000	11	0	2	3	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20,37000000000	0,00000000000	13,11500000000	48,25400000000	45,92900000000	55,73800000000	0,00000000000	39,34400000000	21,31100000000	9,83600000000	0,00000000000	1,63900000000	11,47500000000	1,63900000000	70,83333333330	0,00000000000	29,16666666670
Bušovice	118	100,00000000000	118	23	14	34	2	5	6	7	8	2	4	13	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	2	0	3	1	1	0	0	0	2	24,95000000000	1,95700000000	9,60900000000	41,78100000000	40,09700000000	48,57700000000	0,00000000000	33,63000000000	25,62300000000	10,14200000000	1,24600000000	0,71200000000	12,98900000000	3,38100000000	83,83458646620	4,13533834586	12,03007518800
Cekov	34	100,00000000000	34	7	1	7	0	4	6	2	0	1	2	4	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	31,19000000000	0,81300000000	8,94300000000	43,28000000000	43,76100000000	38,21100000000	0,00000000000	40,65000000000	25,20300000000	6,50400000000	1,62600000000	0,81300000000	17,07300000000	1,62600000000	85,71428571430	3,17460317460	11,11111111110
Dobřív	190	100,00000000000	190	31	17	36	5	18	35	3	4	10	13	18	0	2	0	1	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	6	1	0	0	0	1	1	18,41000000000	2,93600000000	6,52500000000	41,50600000000	39,94800000000	48,20600000000	0,08200000000	32,13700000000	24,22500000000	6,85200000000	0,73400000000	0,32600000000	14,60000000000	2,85500000000	85,95825426940	3,79506641366	10,24667931690
Ejpovice	108	98,15000000000	106	12	14	26	6	2	14	13	0	6	3	10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0	0	4	1	21,30000000000	2,02500000000	8,72300000000	38,68800000000	37,47000000000	44,39300000000	0,31200000000	28,03700000000	24,61100000000	8,56700000000	0,77900000000	0,77900000000	16,82200000000	3,58300000000	81,39534883720	5,03875968992	13,56589147290
Hlohovice	60	98,33000000000	59	9	6	11	0	0	10	3	1	5	3	11	0	0	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	21,51000000000	0,63700000000	7,00600000000	44,89300000000	44,91100000000	47,13400000000	0,95500000000	37,26100000000	19,10800000000	2,86600000000	0,31800000000	0,63700000000	11,46500000000	5,73200000000	78,33333333330	4,16666666667	17,50000000000
Holoubkov	245	99,18000000000	243	52	41	44	7	9	35	16	9	8	1	21	1	0	0	1	0	3	2	0	1	0	0	0	0	0	1	0	0	5	0	0	0	5	0	1	0	0	0	1	20,78000000000	1,63400000000	3,54000000000	41,18300000000	40,36600000000	43,56700000000	0,34000000000	33,76400000000	27,84200000000	4,83300000000	0,40800000000	0,61300000000	13,41000000000	3,88000000000	85,86789554530	1,84331797235	12,28878648230
Hrádek	357	97,48000000000	348	85	59	64	11	12	42	23	4	8	11	29	0	2	0	1	0	4	5	0	0	1	0	0	0	0	0	0	0	4	0	3	0	9	0	0	0	0	0	0	15,54000000000	1,58200000000	6,29400000000	41,89000000000	40,74100000000	44,09300000000	0,21100000000	34,38800000000	20,07700000000	5,45000000000	0,35200000000	1,09000000000	13,50200000000	3,83300000000	91,06239460370	1,77065767285	7,16694772344
Hůrky	50	96,00000000000	48	8	11	9	3	1	12	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	25,51000000000	1,60600000000	4,01600000000	44,11000000000	44,73400000000	47,79100000000	0,00000000000	35,34100000000	21,68700000000	9,23700000000	0,40200000000	2,00800000000	11,64700000000	4,41800000000	85,43689320390	2,91262135922	11,65048543690
Cheznovice	82	95,12000000000	78	26	18	8	3	4	12	0	0	3	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13,42000000000	1,44400000000	2,23100000000	41,24900000000	39,74000000000	49,73800000000	0,13100000000	39,23900000000	21,26000000000	4,59300000000	0,13100000000	0,26200000000	13,51700000000	2,75600000000	86,21700879770	4,10557184751	9,67741935484
