KSCM	CSSD	TOP	KDU	Pirati	ANO	ODS	SZ	Svob	Usvit	Ostatni	Nevolici	mimo_byty	verici	vek_prumer	vdani	vzdelani_zakladni	vzdelani_stredni	vzdelani_maturita	vzdelani_vysoka	prac_studenti	nikdy_nezamestnani	studenti	nezamestnani	zamestnani	podnikatele	osvc
1	4	1	4	0	1	0	0	1	0	5	107	0	10.569	46.703	49.593	0	44.715	18.699	4.065	0.813	0.813	8.13	4.878	88.889	1.852	9.259
2	4	0	0	0	0	1	0	0	0	5	44	5.263	7.018	47.711	56.14	0	42.105	22.807	0	0	1.754	7.018	3.509	95.238	0.000	4.762
5	5	1	0	0	4	0	0	0	1	0	59	0	9.722	41.764	38.889	0	41.667	19.444	2.778	0	0	6.944	2.778	65.517	0.000	34.483
1	4	3	2	1	7	0	1	0	0	8	175	0	16.514	39.716	45.413	0.917	35.321	21.56	5.963	0.459	0.459	16.055	3.67	89.474	3.158	7.368
18	12	14	4	1	27	11	4	2	4	7	514	2.652	8.736	42.48	46.022	0.624	34.633	25.273	4.836	0.936	0.156	13.729	2.34	83.942	4.380	11.679
0	2	1	15	0	1	3	0	0	0	1	82	0	24.138	47.443	43.678	0	39.08	24.138	0	0	2.299	11.494	6.897	96.296	0.000	3.704
2	3	0	1	0	5	0	0	0	1	5	54	0	19.178	38.445	50.685	0	45.205	23.288	2.74	0	1.37	15.068	6.849	70.370	0.000	29.630
1	3	12	8	0	2	1	1	4	4	1	184	0	16.667	39.996	45.833	1.25	30	21.667	8.75	1.667	0.417	12.5	1.25	80.198	1.980	17.822
13	37	36	5	20	40	13	6	9	10	19	1057	1.107	5.692	41.565	46.087	0.079	33.834	23.478	5.771	0.711	0.632	12.964	2.767	81.170	3.839	14.991
10	6	4	2	3	10	10	0	5	2	7	309	0.545	7.629	39.689	42.234	0.545	35.695	19.619	3.815	0.817	0.545	13.624	2.452	92.262	2.381	5.357
13	5	7	6	1	6	7	0	3	4	6	251	0.613	6.748	38.491	48.466	0.613	29.755	22.393	7.362	0.307	0.92	13.19	2.761	83.453	3.597	12.950
246	284	438	111	110	366	205	101	126	59	164	11724	0.791	7.935	40.801	40.423	0.318	27.183	26.561	10.631	0.865	0.743	12.875	4.731	83.474	3.262	13.265
12	23	12	6	3	12	5	4	3	4	8	703	0	9.035	44.394	47.131	0.366	38.217	18.071	4.029	0.122	0.611	11.722	5.006	86.136	1.770	12.094
14	15	30	5	6	22	21	2	7	2	9	690	0.347	5.78	38.788	44.971	0.347	34.104	23.006	6.821	0.462	0.809	12.948	5.78	85.561	1.872	12.567
6	7	4	3	0	11	3	0	2	3	3	265	0.264	7.388	40.889	51.979	0.264	30.871	23.219	6.596	0.528	0.528	13.193	3.43	87.919	4.027	8.054
